"Отметка времени","Как вы оцениваете свои знания web технологий","Кто круче?","Насколько легко вам писать программы на вашем любимом языке?","Оцените ваш уровень знаний HTTP/s","Выберите библиотеки / технологии / фреймворки, с которыми есть опыт или понимание что это такое","Оцените ваш уровень знаний javascript","Как оцениваете свои знания о процессе разработки приложений","Как вы оцениваете свои знания HTML","Как вы оцениваете свои знания CSS","Ваши ожидания от предмета","Я работаю в IT"
"2022/09/08 12:57:56 AM GMT-6","Плохо","","","","","","","","","",""
"2022/09/08 8:10:16 AM GMT-6","Ничего не знаю","backend","Пишу простые программы","HTT.. что?;Знаю базовые вещи в HTTP хорошо!","-","Ничего не знаю","Слышал про это","Знаю много тегов","Могу верстать!","Интересно, но слишком много сил тратить не буду","Стажируюсь"
"2022/09/08 8:10:27 AM GMT-6","Нормально знаю","backend","ПИШУ МОЩНО!","ЗНАЮ ПРО GET и POST и на этом все!;Знаю базовые вещи в HTTP хорошо!","webpack;jquery;javascript;json;Django, flask","Выглядит похоже на другой язык, что-то написать смогу!","Я и есть процесс разработки!","Знаю много тегов","Знаю как сделать красный квадрат и скруглить края!","Интересно, но слишком много сил тратить не буду","Да"
"2022/09/08 8:10:39 AM GMT-6","Знаю не много","backend","Выполняю лабы сам без проблем","Знаю базовые вещи в HTTP хорошо!","nodejs;webgl;flux;json","Выглядит похоже на другой язык, что-то написать смогу!","Уверенно знаю как выглядит обычный процесс разработки","Слышал, могу сделать простейшую страницу","Знаю как сделать красный квадрат и скруглить края!","Очень интересно, выложусь на максимум","некст сем стажировка!"
"2022/09/08 8:10:40 AM GMT-6","Знаю не много","backend","Пишу простые программы","ЗНАЮ ПРО GET и POST и на этом все!","yarn;json","Выглядит похоже на другой язык, что-то написать смогу!","Слышал про это","Знаю много тегов","Знаю как сделать красный квадрат и скруглить края!","Интересно, но слишком много сил тратить не буду","Стажируюсь"
"2022/09/08 8:10:45 AM GMT-6","Ничего не знаю","backend","Пишу простые программы","ЗНАЮ ПРО GET и POST и на этом все!","react;angular;nodejs;jquery;javascript;typescript;npm","Уверенно могу на нем писать","Уверенно знаю как выглядит обычный процесс разработки","Знаю много тегов","Могу верстать!","Интересно, но слишком много сил тратить не буду","Стажируюсь"
"2022/09/08 8:10:46 AM GMT-6","Знаю не много","frontend","Пишу простые программы","ЗНАЮ ПРО GET и POST и на этом все!;Знаю базовые вещи в HTTP хорошо!","react;angular;nodejs;jquery;javascript;vue;npm;yarn;json","Выглядит похоже на другой язык, что-то написать смогу!","Уверенно знаю как выглядит обычный процесс разработки","Знаю много тегов","Знаю как сделать красный квадрат и скруглить края!","Интересно, но слишком много сил тратить не буду","Да"
"2022/09/08 8:11:25 AM GMT-6","Знаю совсем чуть-чуть","frontend","Что-то могу скопипастить, понять что написано, но как исправить ошибку не разбирусь","HTT.. что?","json;ПиСАЛ НА ДЖАВА хелло ворлд","Ничего не знаю","Без понятия как это происходит","Слышал, могу сделать простейшую страницу","Что это?","Очень интересно, выложусь на максимум","Нет"
"2022/09/08 8:11:36 AM GMT-6","Знаю не много","backend","Пишу простые программы","ЗНАЮ ПРО GET и POST и на этом все!","json","Выглядит похоже на другой язык, что-то написать смогу!","Слышал про это","Слышал, могу сделать простейшую страницу","Знаю как сделать красный квадрат и скруглить края!","Очень интересно, выложусь на максимум","Нет"
"2022/09/08 8:11:39 AM GMT-6","Знаю совсем чуть-чуть","backend","Пишу простые программы","ЗНАЮ ПРО GET и POST и на этом все!","react;angular;json","Ничего не знаю","Уверенно знаю как выглядит обычный процесс разработки","Знаю много тегов","Могу верстать!","Интересно, но слишком много сил тратить не буду","Стажируюсь"
"2022/09/08 8:11:49 AM GMT-6","Ничего не знаю","frontend","Что-то могу скопипастить, понять что написано, но как исправить ошибку не разбирусь","HTT.. что?","json","Ничего не знаю","Без понятия как это происходит","Знаю много тегов","Знаю как сделать красный квадрат и скруглить края!","Очень интересно, выложусь на максимум","Нет"
"2022/09/08 8:11:52 AM GMT-6","Знаю не много","backend","Выполняю лабы сам без проблем","ЗНАЮ ПРО GET и POST и на этом все!","angular;jquery;javascript;json","Уверенно могу на нем писать","Уверенно знаю как выглядит обычный процесс разработки","Знаю много тегов","Могу верстать!","Интересно, но слишком много сил тратить не буду","Нет"
"2022/09/08 8:11:59 AM GMT-6","Знаю не много","backend","Пишу простые программы","HTT.. что?;ЗНАЮ ПРО GET и POST и на этом все!","json;Flask","Ничего не знаю","Слышал про это","Знаю много тегов","Могу верстать!","Очень интересно, выложусь на максимум","Нет"
"2022/09/08 8:11:59 AM GMT-6","Нормально знаю","backend","Выполняю лабы сам без проблем","Знаю базовые вещи в HTTP хорошо!","react;nodejs;javascript;typescript;json","Выглядит похоже на другой язык, что-то написать смогу!","Уверенно знаю как выглядит обычный процесс разработки","Слышал, могу сделать простейшую страницу","Знаю как сделать красный квадрат и скруглить края!","Очень интересно, выложусь на максимум","Завтра еду в школу разработки в Москву"
"2022/09/08 8:12:01 AM GMT-6","Знаю не много","backend","Пишу простые программы","ЗНАЮ ПРО GET и POST и на этом все!","json","Выглядит похоже на другой язык, что-то написать смогу!","Без понятия как это происходит"," с бутстрапом будет даже красиво)","Знаю как сделать красный квадрат и скруглить края!","Интересно, но слишком много сил тратить не буду","Нет"
"2022/09/08 8:12:03 AM GMT-6","Знаю не много","backend","Пишу простые программы","ЗНАЮ ПРО GET и POST и на этом все!","json","Ничего не знаю","Без понятия как это происходит","Слышал, могу сделать простейшую страницу","Что это?","Очень интересно, выложусь на максимум","Нет"
"2022/09/08 8:12:05 AM GMT-6","Знаю не много","backend","ПИШУ МОЩНО!","Знаю базовые вещи в HTTP хорошо!","react;redux;javascript;express;npm;json","Выглядит похоже на другой язык, что-то написать смогу!","Слышал про это","Знаю много тегов","Могу верстать!","Интересно, но слишком много сил тратить не буду","Нет"
"2022/09/08 8:12:11 AM GMT-6","Знаю не много","frontend","Пишу простые программы","ЗНАЮ ПРО GET и POST и на этом все!","react;javascript;json","Выглядит похоже на другой язык, что-то написать смогу!","Слышал про это","Слышал, могу сделать простейшую страницу","Знаю как сделать красный квадрат и скруглить края!","Очень интересно, выложусь на максимум","Стажируюсь"
"2022/09/08 8:12:35 AM GMT-6","Знаю не много","backend","Выполняю лабы сам без проблем","ЗНАЮ ПРО GET и POST и на этом все!","dart;json","Ничего не знаю","Слышал про это","Слышал, могу сделать простейшую страницу","Знаю как сделать красный квадрат и скруглить края!","Очень интересно, выложусь на максимум","Стажируюсь"
"2022/09/08 8:12:44 AM GMT-6","Нормально знаю","frontend","Пишу простые программы","ЗНАЮ ПРО GET и POST и на этом все!","javascript;express","Выглядит похоже на другой язык, что-то написать смогу!","Слышал про это","Знаю много тегов","Давно пилю кастомные анимации, круты параллаксы и тд","Очень интересно, выложусь на максимум","Нет"
"2022/09/08 8:13:04 AM GMT-6","Знаю не много","backend","Пишу простые программы","Знаю базовые вещи в HTTP хорошо!","flow;json","Ничего не знаю","Слышал про это","Слышал, могу сделать простейшую страницу","Могу верстать!","Хочу просто сдать минимальными усилиями и забыть, мне не интересно","Да"
"2022/09/08 8:13:12 AM GMT-6","Знаю совсем чуть-чуть","backend","Выполняю лабы сам без проблем","ЗНАЮ ПРО GET и POST и на этом все!","Никого не знаю","Ничего не знаю","Уверенно знаю как выглядит обычный процесс разработки","Знаю много тегов","Могу верстать!","Интересно, но слишком много сил тратить не буду","Да"
"2022/09/08 8:13:13 AM GMT-6","Знаю не много","frontend","Пишу простые программы","Знаю базовые вещи в HTTP хорошо!","react;angular;webpack;nodejs;jquery;javascript","Выглядит похоже на другой язык, что-то написать смогу!","Слышал про это","Знаю много тегов","Могу верстать!","Очень интересно, выложусь на максимум","Нет"
"2022/09/08 8:13:18 AM GMT-6","Знаю не много","backend","Что-то могу скопипастить, понять что написано, но как исправить ошибку не разбирусь","ЗНАЮ ПРО GET и POST и на этом все!","javascript;json","Уверенно могу на нем писать","Слышал про это","Слышал, могу сделать простейшую страницу","Знаю как сделать красный квадрат и скруглить края!","Интересно, но слишком много сил тратить не буду","Да"
"2022/09/08 8:13:29 AM GMT-6","Знаю совсем чуть-чуть","backend","Что-то могу скопипастить, понять что написано, но как исправить ошибку не разбирусь","HTT.. что?","javascript","Ничего не знаю","Слышал про это","проходили недавно на 1 курсе","Что это?","Очень интересно, выложусь на максимум","Нет"
"2022/09/08 8:14:12 AM GMT-6","Знаю не много","backend","ПИШУ МОЩНО!","Знаю базовые вещи в HTTP хорошо!","json;spring boot","Выглядит похоже на другой язык, что-то написать смогу!","Слышал про это","Слышал, могу сделать простейшую страницу","Что это?","Интересно, но слишком много сил тратить не буду","я работал делая тг ботов и сайты на wordpress"
"2022/09/08 8:14:47 AM GMT-6","Нормально знаю","backend","Выполняю лабы сам без проблем","Знаю базовые вещи в HTTP хорошо!","jquery;javascript;json","Выглядит похоже на другой язык, что-то написать смогу!","Уверенно знаю как выглядит обычный процесс разработки","Знаю много тегов","Могу верстать!","Интересно, но слишком много сил тратить не буду","Нет"
"2022/09/08 8:28:46 AM GMT-6","Знаю не много","backend","Что-то могу скопипастить, понять что написано, но как исправить ошибку не разбирусь","","react;nodejs;typescript;npm;json","Выглядит похоже на другой язык, что-то написать смогу!","Я и есть процесс разработки!","Знаю много тегов","Могу верстать!","Интересно, но слишком много сил тратить не буду","Стажируюсь"
"2022/09/09 10:52:52 AM GMT-6","Знаю не много","backend","Выполняю лабы сам без проблем","ЗНАЮ ПРО GET и POST и на этом все!","nodejs;javascript;express;yarn;json;Spring","Выглядит похоже на другой язык, что-то написать смогу!","Уверенно знаю как выглядит обычный процесс разработки","Знаю много тегов","Могу верстать!","Интересно, но слишком много сил тратить не буду","Да"
